Year,Period,labor_force,employment,unemployment,unemployment_rate
2005,Jan,615182,578846,36336,5.9
2005,Feb,618772,585332,33440,5.4
2005,Mar,622201,592268,29933,4.8
2005,Apr,627143,598664,28479,4.5
2005,May,635900,602771,33129,5.2
2005,Jun,646155,606359,39796,6.2
2005,Jul,645907,607475,38432,6
2005,Aug,629381,592277,37104,5.9
2005,Sep,555586,471493,84093,15.1
2005,Oct,514959,435239,79720,15.5
2005,Nov,519626,441257,78369,15.1
2005,Dec,494652,448814,45838,9.3
2006,Jan,479858,442509,37349,7.8
2006,Feb,479386,452134,27252,5.7
2006,Mar,487831,462149,25682,5.3
2006,Apr,490338,466240,24098,4.9
2006,May,494067,469686,24381,4.9
2006,Jun,508237,480576,27661,5.4
2006,Jul,507621,484193,23428,4.6
2006,Aug,503718,480876,22842,4.5
2006,Sep,501201,478917,22284,4.4
2006,Oct,513106,491729,21377,4.2
2006,Nov,515786,494769,21017,4.1
2006,Dec,515683,496479,19204,3.7
2007,Jan,511545,488424,23121,4.5
2007,Feb,512034,492686,19348,3.8
2007,Mar,519453,499730,19723,3.8
2007,Apr,513241,494139,19102,3.7
2007,May,516274,495518,20756,4
2007,Jun,528548,503378,25170,4.8
2007,Jul,528091,505471,22620,4.3
2007,Aug,519048,497941,21107,4.1
2007,Sep,517376,497079,20297,3.9
2007,Oct,529302,510675,18627,3.5
2007,Nov,532989,514673,18316,3.4
2007,Dec,532286,512662,19624,3.7
2008,Jan,529437,505246,24191,4.6
2008,Feb,526942,507619,19323,3.7
2008,Mar,532858,511877,20981,3.9
2008,Apr,537473,519054,18419,3.4
2008,May,539045,516703,22342,4.1
2008,Jun,551892,523099,28793,5.2
2008,Jul,553059,524922,28137,5.1
2008,Aug,550841,520381,30460,5.5
2008,Sep,549459,515827,33632,6.1
2008,Oct,556157,524518,31639,5.7
2008,Nov,550608,520796,29812,5.4
2008,Dec,549202,518350,30852,5.6
2009,Jan,541196,504798,36398,6.7
2009,Feb,538925,506192,32733,6.1
2009,Mar,537732,505123,32609,6.1
2009,Apr,540078,509523,30555,5.7
2009,May,541448,507336,34112,6.3
2009,Jun,551365,509384,41981,7.6
2009,Jul,554317,513978,40339,7.3
2009,Aug,550098,510034,40064,7.3
2009,Sep,543585,505033,38552,7.1
2009,Oct,547179,509047,38132,7
2009,Nov,545643,509559,36084,6.6
2009,Dec,540498,503446,37052,6.9
2010,Jan,559626,516207,43419,7.8
2010,Feb,557904,519728,38176,6.8
2010,Mar,564678,524970,39708,7
2010,Apr,571973,532714,39259,6.9
2010,May,571045,528691,42354,7.4
2010,Jun,580599,531788,48811,8.4
2010,Jul,578434,530402,48032,8.3
2010,Aug,574851,525838,49013,8.5
2010,Sep,572674,525862,46812,8.2
2010,Oct,573898,527973,45925,8
2010,Nov,573539,527923,45616,8
2010,Dec,569512,526002,43510,7.6
2011,Jan,566618,517802,48816,8.6
2011,Feb,564579,521267,43312,7.7
2011,Mar,568794,525547,43247,7.6
2011,Apr,567333,526763,40570,7.2
2011,May,568109,525127,42982,7.6
2011,Jun,575438,525747,49691,8.6
2011,Jul,574587,527120,47467,8.3
2011,Aug,570545,524415,46130,8.1
2011,Sep,568601,524630,43971,7.7
2011,Oct,572689,529706,42983,7.5
2011,Nov,570630,531184,39446,6.9
2011,Dec,566577,527336,39241,6.9
2012,Jan,562066,517565,44501,7.9
2012,Feb,562092,521629,40463,7.2
2012,Mar,566636,526087,40549,7.2
2012,Apr,570236,532655,37581,6.6
2012,May,574202,532974,41228,7.2
2012,Jun,581749,533874,47875,8.2
2012,Jul,582797,536971,45826,7.9
2012,Aug,574994,531900,43094,7.5
2012,Sep,570496,531432,39064,6.8
2012,Oct,577753,539728,38025,6.6
2012,Nov,574573,539944,34629,6
2012,Dec,574465,537295,37170,6.5
2013,Jan,578021,532840,45181,7.8
2013,Feb,577010,537691,39319,6.8
2013,Mar,576988,538463,38525,6.7
2013,Apr,579413,542460,36953,6.4
2013,May,581796,541625,40171,6.9
2013,Jun,592502,545644,46858,7.9
2013,Jul,589441,546137,43304,7.3
2013,Aug,586498,545289,41209,7
2013,Sep,582454,544460,37994,6.5
2013,Oct,586455,550221,36234,6.2
2013,Nov,587701,555648,32053,5.5
2013,Dec,581922,552417,29505,5.1
2014,Jan,578538,544849,33689,5.8
2014,Feb,581500,550996,30504,5.2
2014,Mar,588546,556154,32392,5.5
2014,Apr,588521,559014,29507,5
2014,May,595218,559942,35276,5.9
2014,Jun,608116,566169,41947,6.9
2014,Jul,610081,566189,43892,7.2
2014,Aug,606258,561322,44936,7.4
2014,Sep,603282,560686,42596,7.1
2014,Oct,611549,569618,41931,6.9
2014,Nov,609680,568366,41314,6.8
2014,Dec,603346,564490,38856,6.4
2015,Jan,602173,560552,41621,6.9
2015,Feb,597161,560625,36536,6.1
2015,Mar,604572,567089,37483,6.2
2015,Apr,607573,570965,36608,6
2015,May,609280,570896,38384,6.3
2015,Jun,613639(P),572380(P),41259(P),6.7(P)
